ID,GD1,GD2,GD3,GD4,GR1,GR2,GR3,GR4
R_eWl1zuz8kKProz3,"Socialist","Marxist","Liberal","Leftist","Fiscally conservative","Pro-business","Religious","White"
R_1JIUvECaYHGm45m,"Intelligent ","Charitable ","Compassionate ","Intelligent","white","Christian","male","Conservative"
R_3k1BKxpFIbCSr3v,"Liberal/Left","Liberal/Left","Liberal/Left","Liberal/Left","Godly","Patriotic","Conservative","Middle-class"
R_2v2Cc9esyvMDWti,"Liberal","Minorities","Poor","Young","Racist","Religious","Homophobic","Rich"
R_2fJMNkWD2jtpTch,"Young urban professionals","Environmentalists","Civil rights activists","Social justice advocates","Old White Men","Rich","Upper Class","Conservative"
R_1NsIWAExgPsQg0X,"Socialist or communist","Uneducated or lacking in critical thinking skills","Immoral or lacking in values","Entitled or lacking in humility","Selfish","Racist","Ignorant","Religious"
R_2mntxLKP30aSDQh,"Liberal","Young","Female","Rich","Against abortion ","Pro-military ","Social issues traditional values / homophobia / closed-mindedness ","Pro-business / anti-regulation"
R_3O2eKxZmdNEZotN,"Ignorant","Self-righteous","Greedy","Anti-American","Xenophobic","Misogynistic","Homophobic","Racist"
R_22sMf5UxLDRaRdm,"Liberal","Young","Middle/Working Class","Female","Against abortion ","Anti-gay ","Racist ","Old-fashioned"
R_1gnWxSKOsplYOm4,"Uneducated","Liberal/PC","Undereducated","Clueless","Angry","Anti-abortion","Pro-business","Christian"
R_8hV7PNohvUFzMkB,"Open-mindedness","Tolerance","Compassion","Toughness","Uneducated","Racist","Ignorant","Gullible"
R_9Rh4IfIjZwP1plj,"Poor","Young","Female","Liberal","Hateful","Racist","Misogynist","Greedy"
R_2YqZIqoUD9wsnaP,"Liberal","Poor","Young","Female","Racist ","Religious ","Rich ","Sexist"
R_27sCzacwDnod5t3,"Pro-Choice","Pro-Affirmative Action","Anti-Bush","Anti-Iraq War","Strict","Old-fashioned","Religious","Racist"
